"Num week","Year","WEEK","Pneumonia.and.Influenza.Deaths","Perc"
"1",2009,1,1030,6.97737433952039
"2",2009,2,1014,7.60519012975324
"3",2009,3,899,7.09102382079192
"4",2009,4,923,6.98078959310241
"5",2009,5,911,7.17774976363063
"6",2009,6,890,6.87630379355636
"7",2009,7,875,7.49400479616307
"8",2009,8,935,7.33736168877031
"9",2009,9,926,7.45631693373057
"10",2009,10,875,7.12889033729835
"11",2009,11,879,7.25606736007925
"12",2009,12,918,7.35635868258675
"13",2009,13,868,7.51905751905752
"14",2009,14,892,7.88473437638115
"15",2009,15,840,6.87848018342614
"16",2009,16,842,7.24238775159126
"17",2009,17,817,6.92021006267999
"18",2009,18,827,7.25948033707865
"19",2009,19,761,6.69364060163603
"20",2009,20,765,6.67364564250196
"21",2009,21,627,6.33589329021827
"22",2009,22,712,6.37421665174575
"23",2009,23,781,6.95768374164811
"24",2009,24,770,6.73430120692671
"25",2009,25,681,6.50927164978016
"26",2009,26,616,6.6978362509514
"27",2009,27,750,6.50251430553147
"28",2009,28,747,6.78905752976461
"29",2009,29,674,6.32923279181144
"30",2009,30,675,6.02033535497681
"31",2009,31,638,6.11169652265543
"32",2009,32,635,5.83693354168582
"33",2009,33,609,6.11200321156162
"34",2009,34,640,5.85597950407174
"35",2009,35,551,5.3365617433414
"36",2009,36,549,5.95121951219512
"37",2009,37,688,6.09119079238601
"38",2009,38,667,6.12826166850423
"39",2009,39,656,6.57710046119912
"40",2009,40,736,6.7734216823118
"41",2009,41,720,7.00457242922463
"42",2009,42,793,7.09112045068407
"43",2009,43,846,7.48010610079576
"44",2009,44,841,7.71418088424142
"45",2009,45,815,7.64253563390848
"46",2009,46,926,8.05988336669858
"47",2009,47,616,7.29512079583136
"48",2009,48,943,7.87868660706826
"49",2009,49,904,7.59600033610621
"50",2009,50,848,7.38418669453152
"51",2009,51,694,7.59050639833753
"52",2009,52,697,7.3345259391771
"53",2010,1,960,7.15190344930343
"54",2010,2,1026,7.88078961517782
"55",2010,3,988,8.2018927444795
"56",2010,4,1002,8.03786298732552
"57",2010,5,880,7.22970752546829
"58",2010,6,883,7.71381147899013
"59",2010,7,836,7.37473535638673
"60",2010,8,927,7.87194293478261
"61",2010,9,936,7.65957446808511
"62",2010,10,897,7.3015873015873
"63",2010,11,887,7.68364518364518
"64",2010,12,902,7.88048226454657
"65",2010,13,850,7.28550612839633
"66",2010,14,832,7.08507195776207
"67",2010,15,861,7.62756909992913
"68",2010,16,812,7.11843604804068
"69",2010,17,774,7.11920529801325
"70",2010,18,741,6.75478577939836
"71",2010,19,761,7.05151964418087
"72",2010,20,778,7.04391127206881
"73",2010,21,693,6.49180327868852
"74",2010,22,684,6.69734651914227
"75",2010,23,747,6.7559012390341
"76",2010,24,696,6.58903720533939
"77",2010,25,661,6.26480902284144
"78",2010,26,690,6.49595179815477
"79",2010,27,611,6.3289828050549
"80",2010,28,743,6.47438131753224
"81",2010,29,705,6.53140633685381
"82",2010,30,673,6.3180623357116
"83",2010,31,645,6.1769775904999
"84",2010,32,613,6.10740261034174
"85",2010,33,649,6.36586562040216
"86",2010,34,648,5.99167822468793
"87",2010,35,631,5.91654946085326
"88",2010,36,583,5.98439745432149
"89",2010,37,773,6.93958165005835
"90",2010,38,679,6.26846381093058
"91",2010,39,651,5.95935554741853
"92",2010,40,709,6.47488584474886
"93",2010,41,665,6.41520355006753
"94",2010,42,726,6.44245274647262
"95",2010,43,720,6.42627632988219
"96",2010,44,739,6.64867296446244
"97",2010,45,724,7.01482414494719
"98",2010,46,740,6.43142708152268
"99",2010,47,516,6.04003277537165
"100",2010,48,796,6.47207090007318
"101",2010,49,863,6.86118619812371
"102",2010,50,816,6.7836062848117
"103",2010,51,713,7.38477472812014
"104",2010,52,690,7.18525460793502
"105",2011,1,1051,7.9076066511173
"106",2011,2,913,7.41372310190824
"107",2011,3,908,7.42436631234669
"108",2011,4,998,8.30628381190179
"109",2011,5,947,7.96333669693912
"110",2011,6,1109,9.06786590351594
"111",2011,7,1025,8.19475535657179
"112",2011,8,991,7.94643573089568
"113",2011,9,1034,8.47054968460719
"114",2011,10,1066,8.5567506822925
"115",2011,11,1028,8.61765445552854
"116",2011,12,1080,8.58096297473383
"117",2011,13,996,8.10480917894052
"118",2011,14,1020,8.16130580892943
"119",2011,15,893,7.81414070703535
"120",2011,16,878,7.88292332555216
"121",2011,17,808,7.26096333572969
"122",2011,18,849,7.3999825677678
"123",2011,19,835,7.2419774501301
"124",2011,20,844,7.3692482319043
"125",2011,21,790,7.09602083894727
"126",2011,22,695,7.10053126277074
"127",2011,23,788,7.15323166303558
"128",2011,24,742,6.60024906600249
"129",2011,25,739,6.68717763098362
"130",2011,26,722,6.78125293509909
"131",2011,27,584,6.34506736201651
"132",2011,28,706,6.29345694419683
"133",2011,29,739,6.44345627343273
"134",2011,30,727,6.42964535243654
"135",2011,31,618,5.97390043499275
"136",2011,32,631,5.81459638776262
"137",2011,33,619,5.73201222335401
"138",2011,34,633,5.88344641695325
"139",2011,35,601,5.78663585595995
"140",2011,36,633,6.09063792937554
"141",2011,37,695,6.1255067865327
"142",2011,38,681,6.47584632940282
"143",2011,39,683,5.94999564421988
"144",2011,40,594,5.89988081048868
"145",2011,41,650,6.35883388769321
"146",2011,42,695,6.31186994823358
"147",2011,43,697,6.49944050727341
"148",2011,44,695,6.40316933849272
"149",2011,45,626,6.22575832918946
"150",2011,46,747,6.05692045730966
"151",2011,47,554,6.48711943793911
"152",2011,48,801,6.70012547051443
"153",2011,49,749,6.48148148148148
"154",2011,50,779,6.45615779877341
"155",2011,51,752,7.08298012621268
"156",2011,52,692,7.0296627387241
